x_over_h,cf_dns_exactmatch
1.171875000000000000e-02,1.812276542592842002e-03
2.343750000000000000e-02,1.762645957534543593e-03
3.515625000000000000e-02,1.721816809245269248e-03
4.687500000000000000e-02,1.669172062267055895e-03
5.859375000000000000e-02,1.443059429993524519e-03
7.031250000000000000e-02,1.234401410099569959e-03
8.203125000000000000e-02,1.035723040310270208e-03
9.375000000000000000e-02,8.532113918422060215e-04
1.054687500000000000e-01,6.870572358933851528e-04
1.171875000000000000e-01,5.401249590611825833e-04
1.289062500000000000e-01,4.333880574248464993e-04
1.406250000000000000e-01,3.087390557334035554e-04
1.523437500000000000e-01,4.788719358858918584e-04
1.640625000000000000e-01,5.782601934665974885e-04
1.757812500000000000e-01,6.320413461626688033e-04
1.875000000000000000e-01,3.447595439640153080e-04
1.992187500000000000e-01,-7.219084244023005756e-04
2.109375000000000000e-01,-1.448499421502068502e-03
2.226562500000000000e-01,-1.537130077562708476e-03
2.343750000000000000e-01,-6.707602693666463471e-04
2.460937500000000000e-01,-1.462837396147931388e-04
2.578125000000000000e-01,-1.397138439853059600e-03
2.695312500000000000e-01,-7.474715532298918967e-04
2.812500000000000000e-01,-1.588134707224858643e-04
2.929687500000000000e-01,-1.025352320691516736e-03
3.046875000000000000e-01,-8.605614563107864953e-04
3.164062500000000000e-01,-1.215265810932606751e-03
3.281250000000000000e-01,-9.261493747905359805e-04
3.398437500000000000e-01,-7.592019253055901085e-04
3.515625000000000000e-01,-1.816890489041524711e-04
3.632812500000000000e-01,-7.378637088249840117e-04
3.750000000000000000e-01,-6.100152066106964265e-04
3.867187500000000000e-01,-3.766894308340089695e-04
3.984375000000000000e-01,-1.278509184763872543e-03
4.101562500000000000e-01,-2.005870641549621896e-03
4.218750000000000000e-01,-2.047243391717663754e-03
4.335937500000000000e-01,-2.104620635601237195e-03
4.453125000000000000e-01,-2.175054047311846331e-03
4.570312500000000000e-01,-2.258400954472652641e-03
4.687500000000000000e-01,-2.348170829240730888e-03
4.804687500000000000e-01,-2.437773240643904393e-03
4.921875000000000000e-01,-2.521388696904595071e-03
5.039062500000000000e-01,-2.489644438179665787e-03
5.156250000000000000e-01,-2.245988889448018687e-03
5.273437500000000000e-01,-2.012605777985506956e-03
5.390625000000000000e-01,-1.788823410727292170e-03
5.507812500000000000e-01,-1.584496159704700978e-03
5.625000000000000000e-01,-1.392362428588961483e-03
5.742187500000000000e-01,-1.227828739169442487e-03
5.859375000000000000e-01,-1.182375313451055092e-03
5.976562500000000000e-01,-1.528675584251461403e-03
6.093750000000000000e-01,-1.416321261388025707e-03
6.210937500000000000e-01,-1.235094668393560066e-03
6.328125000000000000e-01,-1.167297405373873657e-03
6.445312500000000000e-01,-1.409605917993241074e-03
6.562500000000000000e-01,-1.318315136656277031e-03
6.679687500000000000e-01,-1.132689928647678595e-03
6.796875000000000000e-01,-1.082581981122448687e-03
6.914062500000000000e-01,-1.296398643707859406e-03
7.031250000000000000e-01,-1.217217845315919297e-03
7.148437500000000000e-01,-1.048276298050395674e-03
7.265625000000000000e-01,-1.007021125977516050e-03
7.382812500000000000e-01,-1.207069437867054097e-03
7.500000000000000000e-01,-1.142446052115399105e-03
7.617187500000000000e-01,-1.045961133349392275e-03
7.734375000000000000e-01,-1.220714852470454817e-03
7.851562500000000000e-01,-1.203588150268877430e-03
7.968750000000000000e-01,-1.088271184548642023e-03
8.085937500000000000e-01,-1.042878859179024054e-03
8.203125000000000000e-01,-1.235678838956274931e-03
8.320312500000000000e-01,-1.195984569319968318e-03
8.437500000000000000e-01,-1.051139997306361823e-03
8.554687500000000000e-01,-1.005337971953870931e-03
8.671875000000000000e-01,-1.209407156804918893e-03
8.789062500000000000e-01,-1.213085847115607510e-03
8.906250000000000000e-01,-1.155924263139041603e-03
9.023437500000000000e-01,-1.349936495565584593e-03
9.140625000000000000e-01,-1.343492239784882655e-03
9.257812500000000000e-01,-1.206601841488608466e-03
9.375000000000000000e-01,-1.145315546435877281e-03
9.492187500000000000e-01,-1.349139414970441974e-03
9.609375000000000000e-01,-1.355960733254116951e-03
9.726562500000000000e-01,-1.306870162998532113e-03
9.843750000000000000e-01,-1.534693811879364036e-03
9.960937500000000000e-01,-1.577032963940026237e-03
1.007812500000000000e+00,-1.485627636397784728e-03
1.019531250000000000e+00,-1.654694079560761581e-03
1.031250000000000000e+00,-1.665113776845834372e-03
1.042968750000000000e+00,-1.488070320016995733e-03
1.054687500000000000e+00,-1.395520385401405588e-03
1.066406250000000000e+00,-1.623225302907633496e-03
1.078125000000000000e+00,-1.626227953111249484e-03
